symbol,valuation_date,entry_price,fair_value_median,upside_to_median,return_90d,return_180d,return_365d,price_90d,price_180d,price_365d,threshold,max_drawdown_90d,max_drawdown_180d,max_drawdown_365d,rate_sensitivity_score,debt_burden_category
HUM,2023-07-13,25.9,59.4,1.2934362934362935,0.03474903474903483,0.044401544401544486,0.3243243243243243,26.8,27.05,34.3,0.2,-0.017374517374517347,-0.017374517374517347,-0.09845559845559836,10.0,moderate_debt
HUM,2023-09-14,27.8,59.44,1.1381294964028776,-0.023381294964028854,-0.13129496402877705,0.16906474820143882,27.15,24.15,32.5,0.2,-0.08093525179856115,-0.1528776978417266,-0.16007194244604314,10.0,moderate_debt
HUM,2023-11-16,28.65,59.02,1.0600349040139618,-0.10645724258289693,0.08376963350785348,0.29668411867364747,25.6,31.05,37.15,0.2,-0.16055846422338563,-0.1849912739965095,-0.1849912739965095,10.0,moderate_debt
HUM,2024-01-23,24.9,64.5,1.5903614457831328,0.02409638554216873,0.34538152610441775,0.40562248995983946,25.5,33.5,35.0,0.2,-0.062248995983935636,-0.062248995983935636,-0.062248995983935636,10.0,moderate_debt
HUM,2024-03-26,24.25,64.62,1.6647422680412374,0.4783505154639176,0.38969072164948465,0.7340206185567009,35.85,33.7,42.05,0.2,-0.02886597938144327,-0.02886597938144327,-0.02886597938144327,10.0,moderate_debt
HUM,2024-08-28,32.1,63.35,0.9735202492211837,0.13084112149532695,0.4267912772585668,0.2616822429906541,36.3,45.8,40.5,0.2,-0.026479750778816244,-0.026479750778816244,-0.026479750778816244,10.0,moderate_debt
HUM,2024-10-30,38.45,63.38,0.648374512353706,-0.08062418725617689,0.020806241872561693,0.24447334200260074,35.35,39.25,47.85,0.2,-0.09752925877763328,-0.10013003901170354,-0.1157347204161249,10.0,moderate_debt
DORO,2023-02-22,14.9,51.44,2.4523489932885907,0.030201342281879148,0.07382550335570467,0.7114093959731543,15.35,16.0,25.5,0.2,-0.06711409395973154,-0.06711409395973154,-0.06711409395973154,5.44,low_debt
DORO,2023-04-28,15.25,52.45,2.4393442622950823,0.05245901639344267,0.009836065573770515,0.4098360655737705,16.05,15.4,21.5,0.2,-0.04918032786885246,-0.04918032786885246,-0.04918032786885246,5.44,low_debt
DORO,2023-07-06,15.15,51.48,2.398019801980198,0.026402640264026424,0.3993399339933993,0.3861386138613861,15.55,21.2,21.0,0.2,-0.026402640264026424,-0.026402640264026424,-0.026402640264026424,5.44,low_debt
DORO,2023-09-07,17.0,52.42,2.083529411764706,0.22352941176470592,0.5823529411764705,0.623529411764706,20.8,26.9,27.6,0.2,-0.10882352941176468,-0.10882352941176468,-0.10882352941176468,5.44,low_debt
DORO,2023-11-09,19.0,51.62,1.7168421052631577,0.06315789473684207,0.06842105263157898,0.768421052631579,20.2,20.3,33.6,0.2,0.0,0.0,0.0,5.44,low_debt
DORO,2024-01-16,20.9,33.29,0.5928229665071771,0.09090909090909102,0.009569377990430759,0.6172248803827751,22.8,21.1,33.8,0.2,-0.05023923444976063,-0.06220095693779891,-0.06220095693779891,5.82,low_debt
DORO,2024-03-19,23.5,33.71,0.434468085106383,-0.10638297872340426,0.10212765957446802,0.4553191489361703,21.0,25.9,34.2,0.2,-0.16595744680851057,-0.16595744680851057,-0.16595744680851057,5.82,low_debt
DORO,2024-05-27,20.8,34.13,0.6408653846153847,0.15865384615384617,0.5721153846153847,0.6466346153846153,24.1,32.7,34.25,0.2,-0.009615384615384581,-0.009615384615384581,-0.009615384615384581,5.82,low_debt
EMBELL,2023-10-19,15.8,21.31,0.34873417721518973,0.6075949367088606,0.48101265822784794,1.0316455696202531,25.4,23.4,32.1,0.3,0.0,0.0,0.0,4.5,moderate_debt
ALM,2023-11-16,290.0,431.73,0.48872413793103453,-0.15172413793103448,-0.3103448275862069,-0.3689655172413793,246.0,200.0,183.0,0.3,-0.15172413793103448,-0.32068965517241377,-0.3724137931034483,1.17,moderate_debt
AMBEA,2023-03-02,35.1,49.59,0.41282051282051285,-0.009116809116809125,0.039886039886039844,0.7621082621082621,34.78,36.5,61.85,0.3,-0.07236467236467234,-0.07236467236467234,-0.07236467236467234,9.74,moderate_debt
AMBEA,2023-07-14,33.4,49.73,0.48892215568862274,0.1598802395209582,0.6347305389221558,1.276946107784431,38.74,54.6,76.05,0.3,-0.0011976047904191363,-0.0011976047904191363,-0.0011976047904191363,9.74,moderate_debt
AMBEA,2023-09-15,35.08,49.76,0.4184720638540479,0.4076396807297607,0.7032497149372863,1.5470353477765109,49.38,59.75,89.35,0.3,-0.027936145952109376,-0.027936145952109376,-0.027936145952109376,9.74,moderate_debt
CLEM,2024-02-06,7.98,10.67,0.33709273182957383,0.11027568922305751,0.0025062656641603475,-0.11654135338345871,8.86,8.0,7.05,0.3,-0.032581453634085294,-0.032581453634085294,-0.17293233082706777,9.83,low_debt
CLEM,2024-03-19,8.0,10.52,0.31499999999999995,0.10499999999999998,0.06000000000000005,0.050000000000000044,8.84,8.48,8.4,0.3,-0.03500000000000003,-0.03500000000000003,-0.17500000000000004,9.83,low_debt
CLEM,2024-10-30,7.52,10.1,0.34308510638297873,-0.049202127659574366,0.23005319148936176,0.21675531914893628,7.15,9.25,9.15,0.3,-0.12234042553191489,-0.12234042553191489,-0.12234042553191489,9.67,low_debt
DEDI,2024-10-31,58.6,83.12,0.4184300341296929,0.09726962457337876,-0.2901023890784983,-0.2209897610921502,64.3,41.6,45.65,0.3,-0.05631399317406151,-0.2901023890784983,-0.30460750853242324,7.08,low_debt
BILI A,2023-01-18,121.3,175.74,0.44880461665292676,0.0527617477328937,-0.09645507007419624,0.01236603462489695,127.7,109.6,122.8,0.3,-0.04534212695795548,-0.14591920857378404,-0.19579554822753503,9.46,low_debt
BILI A,2023-04-14,132.1,175.99,0.33224829674489037,-0.1627554882664648,-0.1998485995457986,-0.013626040878122506,110.6,105.7,130.3,0.3,-0.21574564723694173,-0.22710068130204392,-0.2615442846328539,9.46,low_debt
BILI A,2023-05-30,105.8,175.38,0.6576559546313799,-0.008506616257088767,0.05387523629489606,0.393194706994329,104.9,111.5,147.4,0.3,-0.0349716446124764,-0.0779773156899811,-0.0779773156899811,9.46,low_debt
BILI A,2023-07-13,110.6,176.19,0.5930379746835444,-0.044303797468354354,0.159132007233273,0.3544303797468356,105.7,128.2,149.8,0.3,-0.07685352622061484,-0.11799276672694392,-0.11799276672694392,9.46,low_debt
BILI A,2023-08-24,102.1,173.98,0.7040156709108717,0.0832517140058766,0.1537708129285015,0.27032321253672864,110.6,117.8,129.7,0.3,-0.04456415279138097,-0.04456415279138097,-0.04456415279138097,9.46,low_debt
BILI A,2023-10-05,106.6,174.65,0.6383677298311446,0.21575984990619138,0.27579737335834903,0.08348968105065672,129.6,136.0,115.5,0.3,-0.08489681050656658,-0.08489681050656658,-0.08489681050656658,9.46,low_debt
BILI A,2023-11-16,108.7,177.1,0.6292548298068076,0.04875804967801285,0.35050597976080966,0.15271389144434216,114.0,146.8,125.3,0.3,0.011039558417663319,0.011039558417663319,0.011039558417663319,9.46,low_debt
