symbol,timeframe,signal_date,entry_price,exit_price,hold_days,rank,predicted_discount,revenue_growth,debt_to_equity,fair_ps,current_ps,gross_return,net_return,success,growth_bucket
NIUTEC,1Y,2023-09-17,6.44,6.4,365,5,0.9864418611387736,1.451508753382989,0.15152429821913674,22.21472056307741,0.3011902661575449,-0.006211180124223607,-0.008211180124223607,False,>100%
ELMRA,1Y,2023-10-17,20.8783,30.9142,365,1,0.9887534593215968,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09354739636292737,0.48068568801099715,0.47868568801099715,True,50-100%
ENRO,1Y,2023-10-17,0.54,0.44,365,2,0.9879206300904257,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03865552838709678,-0.18518518518518523,-0.18718518518518523,False,0-20%
NAS,1Y,2023-10-17,8.0419,11.2066,365,3,0.9866022834834325,2.717480718056012,2.3992720178902793,29.583547539588128,0.3963519834898009,0.393526405451448,0.391526405451448,True,>100%
RECY B,1Y,2023-10-17,0.243,0.257,365,4,0.9854620090002303,0.12322943343891718,-6.468630070895199,9.846390317917207,0.1431467338221001,0.057613168724279885,0.055613168724279884,True,0-20%
AIK B,1Y,2023-10-17,1.6,1.6,365,5,0.9839002570063998,0.5207362340767905,0.05764344143412427,9.150027333754158,0.14731308845785784,0.0,-0.002,False,50-100%
LEHTO,1Y,2023-11-16,0.0204,0.0318,365,1,0.9896649044551626,-0.14674490025712156,1.6780778705762183,0.5,0.005167547772418654,0.5588235294117647,0.5568235294117647,True,Negative
ELMRA,1Y,2023-11-16,20.5884,34.7728,365,2,0.9889096201269626,0.6921792219359314,1.2915972180223767,8.317881830327279,0.09224846923736578,0.6889510598200927,0.6869510598200927,True,50-100%
ENRO,1Y,2023-11-16,0.538,0.488,365,3,0.9879653684974983,0.12318840579710143,0.14705882352941177,3.2001278772378514,0.03851235976344086,-0.09293680297397777,-0.09493680297397777,False,0-20%
NIUTEC,1Y,2023-11-16,6.3,3.85,365,4,0.9867366032879308,1.451508753382989,0.15152429821913674,22.21472056307741,0.2946426516758591,-0.38888888888888884,-0.39088888888888884,False,>100%
NAS,1Y,2023-11-16,9.2586,10.6011,365,5,0.9845752747310595,2.717480718056012,2.3992720178902793,29.583547539588128,0.4563180932787862,0.1450003240230706,0.14300032402307059,True,>100%
